,Experience,Employment_Status,Company_Size,Remote_Working_Ratio
351,SE,FT,M,100
228,SE,FT,L,0
259,EX,FT,L,0
551,SE,FT,L,0
388,SE,FT,M,100
336,MI,FT,M,100
295,MI,FT,M,100
401,SE,FT,L,100
204,MI,FT,L,100
195,MI,FT,L,50
170,MI,FT,L,100
315,SE,FT,M,100
575,SE,FT,M,100
258,SE,FT,L,50
290,SE,FT,M,100
597,SE,FT,M,100
466,SE,FT,L,50
559,SE,FT,M,0
207,SE,FT,M,0
419,MI,FT,L,100
360,SE,FT,M,100
154,SE,FT,L,100
473,SE,FT,M,100
39,EN,FT,S,100
349,SE,FT,M,100
524,MI,FT,L,100
556,SE,FT,M,100
302,SE,FT,M,100
422,MI,FT,M,100
362,SE,FT,M,100
399,SE,FT,L,100
84,EX,FT,L,100
215,SE,FT,L,100
101,SE,FT,L,100
407,SE,FT,L,100
165,SE,FT,L,100
376,SE,FT,M,0
142,SE,FT,L,0
319,SE,FT,M,0
88,SE,FT,L,100
587,SE,FT,M,100
334,SE,FT,M,100
175,SE,FT,L,100
140,MI,FT,L,100
553,SE,FT,M,100
605,SE,FT,M,100
474,MI,FT,M,0
538,MI,FT,M,0
428,SE,FT,L,0
555,SE,FT,M,100
338,SE,FT,M,100
47,SE,FT,L,100
108,SE,FT,M,100
562,SE,FT,M,100
394,SE,FT,M,100
219,SE,FT,L,100
516,SE,FT,M,100
74,EX,FT,L,100
37,EN,FT,L,50
483,EX,FT,M,100
438,SE,FT,M,0
576,SE,FT,M,100
358,SE,FT,M,100
590,SE,FT,M,100
337,SE,FT,M,100
256,MI,FT,L,100
606,MI,FT,L,100
357,SE,FT,M,100
570,SE,FT,M,100
206,SE,FT,L,100
115,EN,FT,L,100
119,MI,FT,L,100
478,MI,FT,M,100
232,SE,FT,L,100
472,SE,FT,M,100
452,EX,FT,L,50
558,SE,FT,M,0
378,SE,FT,M,100
490,SE,FT,M,100
309,EX,FT,M,100
160,EX,FT,L,50
596,SE,FT,M,100
592,SE,FT,M,100
421,MI,FT,M,100
121,SE,FT,M,100
141,SE,FT,L,0
532,SE,FT,M,100
446,SE,FT,L,100
173,SE,FT,L,100
533,SE,FT,M,100
310,EX,FT,M,100
542,MI,FT,M,0
233,SE,FT,L,100
6,SE,FT,S,100
342,EX,FT,M,100
224,SE,FT,L,100
67,SE,FT,M,100
560,SE,FT,M,0
444,SE,FT,L,0
550,SE,FT,L,0
582,SE,FT,M,100
167,EX,FT,L,0
477,SE,FT,M,100
574,SE,FT,M,100
201,SE,FT,M,100
371,SE,FT,M,0
400,SE,FT,L,100
486,SE,FT,M,100
535,SE,FT,M,100
321,SE,FT,M,0
554,SE,FT,M,100
484,SE,FT,M,100
138,SE,FT,L,0
398,SE,FT,L,100
105,MI,FT,L,50
304,EN,FT,M,100
20,MI,FT,M,0
22,SE,FT,L,50
253,EN,FT,M,100
271,SE,FT,M,0
53,EN,FT,L,100
66,EN,FT,S,0
417,SE,FT,L,100
102,MI,FT,L,50
431,MI,FT,M,100
34,MI,FT,L,50
220,MI,FT,L,100
210,MI,FT,L,50
514,EN,FT,M,0
427,MI,FT,M,100
196,EN,FT,S,100
71,MI,FT,S,50
288,MI,FT,L,50
182,MI,FT,L,0
70,MI,FT,S,50
117,MI,FT,M,100
52,EN,FT,S,50
124,EN,PT,M,50
489,EN,CT,M,100
459,MI,FT,L,100
131,EN,FT,M,50
222,MI,FT,M,0
183,SE,FT,L,50
179,MI,FT,S,100
26,EN,FT,L,50
501,MI,FT,S,100
522,MI,FT,S,100
7,MI,FT,L,50
77,MI,PT,M,50
116,MI,FT,L,100
361,SE,FT,M,100
146,MI,FT,M,50
16,EN,FT,S,100
363,SE,FT,M,100
268,MI,FT,M,100
114,MI,FT,L,100
12,EN,FT,M,0
198,SE,FT,L,50
120,MI,FT,M,50
314,MI,FT,M,0
247,MI,FT,M,0
184,MI,FL,M,50
496,EN,FT,M,100
132,MI,FT,M,100
312,MI,FT,M,0
406,MI,FT,S,0
42,MI,FT,M,0
515,MI,FT,S,100
10,EN,FT,S,0
500,SE,FT,L,100
316,EN,FT,M,100
540,SE,FT,M,100
240,SE,FT,L,100
181,MI,FT,L,50
481,SE,FT,S,100
511,MI,FT,L,50
567,MI,FT,M,0
508,EN,FT,L,100
123,EN,FT,L,0
284,MI,FT,L,50
541,SE,FT,M,100
51,EN,FT,L,100
520,MI,FT,M,100
359,SE,FT,M,100
306,SE,FT,M,0
143,MI,FT,S,100
445,MI,FT,M,100
507,MI,FT,L,0
418,MI,FT,M,0
118,EN,FT,S,100
87,MI,FT,L,100
487,EN,PT,M,50
145,SE,FT,M,50
24,MI,FT,L,0
188,SE,FT,S,50
600,EN,FT,M,0
189,MI,FT,S,50
161,EX,FT,M,0
236,MI,FT,M,100
327,EX,FT,M,100
137,MI,FT,S,50
493,SE,FT,M,100
485,SE,FT,M,100
297,SE,FT,M,100
90,SE,FT,L,100
585,SE,FT,M,100
57,MI,FT,M,100
159,EN,FT,S,100
588,SE,FT,M,0
325,SE,FT,M,100
218,MI,FT,M,100
375,EX,FT,S,100
261,SE,FT,L,50
226,SE,FT,S,100
506,MI,FT,L,100
79,EN,FT,M,100
526,MI,FT,M,100
72,EN,FT,L,50
104,MI,FT,L,0
303,SE,FT,M,100
531,MI,FT,M,0
391,MI,FT,M,0
5,EN,FT,L,100
468,SE,FT,M,100
49,MI,FT,L,50
414,MI,FT,M,100
283,SE,CT,M,100
95,MI,FT,L,50
